"Row.names","data...variable.","rank","std","r","Min","Max","Q25","Q50","Q75","groups"
"Belle_et_Bonne.0",6.2,1064.8,1.92353840616713,5,4,9,5,6,7,"abc"
"Belle_et_Bonne.1",2.625,519.5625,1.08781125813871,16,1,4,1.75,3,3,"bc"
"Belle_et_Bonne.2",3.83333333333333,716.944444444444,2.25571170456635,18,2,12,3,3,4,"abc"
"Belle_et_Bonne.3",4,769.40625,2.16024689946929,16,1,11,3,4,4.25,"abc"
"Belle_et_Bonne.4",2.33333333333333,403.333333333333,0.577350269189626,3,2,3,2,2,2.5,"bc"
"Belle_et_Bonne.5",2,290,NA,1,2,2,2,2,2,"c"
"Belrubi.0",5.6,966.7,2.70185121722126,5,3,10,4,5,6,"abc"
"Belrubi.1",2.46666666666667,456.466666666667,0.639940473422184,15,1,3,2,3,3,"bc"
"Belrubi.2",3.70588235294118,683.529411764706,1.92888263906701,17,1,8,3,3,4,"abc"
"Belrubi.3",2.5,460,0.577350269189626,4,2,3,2,2.5,3,"bc"
"Belrubi.4",4,905,NA,1,4,4,4,4,4,"abc"
"CF10122.0",4.5,840.666666666667,2.07364413533277,6,2,8,3.25,4.5,5,"abc"
"CF10122.1",2.57894736842105,459.973684210526,1.07060675806262,19,1,6,2,2,3,"bc"
"CF10122.2",3.15,628.825,1.46089374230838,20,1,6,2,3,4,"abc"
"CF10122.3",1.14285714285714,98.8571428571429,0.377964473009227,7,1,2,1,1,1,"c"
"CF10122.4",3,630,NA,1,3,3,3,3,3,"abc"
"CF10277.0",6.66666666666667,1085,1.96638416050035,6,4,9,5.25,7,8,"abc"
"CF10277.1",2.03225806451613,323.612903225806,0.65746335602536,31,1,3,2,2,2,"c"
"CF10277.2",3.03125,609.4375,1.03126527359168,32,1,6,2.75,3,3.25,"abc"
"CF10277.3",2.71428571428571,527.285714285714,0.913873533463375,14,1,4,2,3,3,"bc"
"CF12074.0",3.83333333333333,665.416666666667,2.2286019533929,6,2,7,2,3,5.5,"abc"
"CF12074.1",2.71428571428571,480.595238095238,1.64750894209583,21,1,7,2,2,4,"bc"
"CF12074.2",3.45454545454545,698.893939393939,1.22706227151755,33,2,7,2,4,4,"abc"
"CF12074.3",2.6,488.28,0.816496580927726,25,1,4,2,2,3,"bc"
"CF12074.4",3.5,721.5625,1.0690449676497,8,3,6,3,3,3.25,"abc"
"CF12074.5",4,905,0,2,4,4,4,4,4,"abc"
"CF9416.0",7.6,1125.4,2.50998007960223,5,6,12,6,7,7,"abc"
"CF9416.1",3.14285714285714,598,1.55838744494796,21,1,7,2,3,4,"abc"
"CF9416.2",3.35,676.675,1.13670808176853,20,2,6,2.75,3,4,"abc"
"CF9416.3",3.13333333333333,653.666666666667,0.743223352957207,15,2,4,3,3,4,"abc"
"CF9416.4",2.75,545,0.5,4,2,3,2.75,3,3,"abc"
"Ciflorette.0",4.66666666666667,877.5,1.96638416050035,6,1,6,4.25,5.5,6,"abc"
