"Genotype","date","order","rank","no_modules_branching_mean","no_branch_crown_branching_mean","no_extension_crown_branching_mean","branching_length_mean","no_modules_branching_sd","no_branch_crown_branching_sd","no_extension_crown_branching_sd","branching_length_sd"
"Belle_et_Bonne",2022-04-25,0,1,2.2,0.6,1.6,5,2.16794833886788,0.547722557505166,1.67332005306815,5.3851648071345
"Belle_et_Bonne",2022-04-25,0,2,1.4,0.4,1,3.6,1.94935886896179,0.547722557505166,1.4142135623731,5.12835256198323
"Belle_et_Bonne",2022-04-25,0,3,2.4,0.8,1.6,7,2.50998007960223,0.836660026534076,1.67332005306815,6.78232998312527
"Belle_et_Bonne",2022-04-25,0,4,0.8,0.4,0.4,2.4,1.30384048104053,0.547722557505166,0.894427190999916,4.33589667773576
"Belle_et_Bonne",2022-04-25,0,5,0,0,0,0,0,0,0,0
"Belle_et_Bonne",2022-04-25,0,6,0,0,0,0,0,0,0,0
"Belle_et_Bonne",2022-04-25,0,7,0,0,0,0,0,0,0,0
"Belle_et_Bonne",2022-04-25,0,8,3,1,2,7,NA,NA,NA,NA
"Belle_et_Bonne",2022-04-25,0,9,0,0,0,0,NA,NA,NA,NA
"Belle_et_Bonne",2022-04-25,1,5,0,0,0,0,NA,NA,NA,NA
"Belle_et_Bonne",2022-04-25,1,6,0.5,0.5,0,1.5,0.707106781186548,0.707106781186548,0,2.12132034355964
"Belle_et_Bonne",2022-04-25,1,7,0,0,0,0,0,0,0,0
"Belle_et_Bonne",2022-04-25,1,8,0,0,0,0,0,0,0,0
"Belle_et_Bonne",2022-04-25,1,9,0,0,0,0,0,0,0,0
"Belle_et_Bonne",2022-04-25,1,10,0,0,0,0,0,0,0,0
"Belle_et_Bonne",2022-04-25,1,11,0.5,0.5,0,2,0.707106781186548,0.707106781186548,0,2.82842712474619
"Belle_et_Bonne",2022-04-25,1,12,0,0,0,0,NA,NA,NA,NA
"Belle_et_Bonne",2022-04-25,1,13,0,0,0,0,NA,NA,NA,NA
"Belle_et_Bonne",2022-04-25,2,8,0,0,0,0,NA,NA,NA,NA
"Belle_et_Bonne",2022-04-25,2,9,0,0,0,0,0,0,0,0
"Belle_et_Bonne",2022-04-25,2,10,0,0,0,0,0,0,0,0
"Belle_et_Bonne",2022-04-25,2,11,0,0,0,0,0,0,0,0
"Belle_et_Bonne",2022-04-25,2,12,0.5,0.5,0,0.5,0.707106781186548,0.707106781186548,0,0.707106781186548
"Belle_et_Bonne",2022-04-25,2,13,0,0,0,0,NA,NA,NA,NA
"Belle_et_Bonne",2022-04-25,2,14,0,0,0,0,0,0,0,0
"Belle_et_Bonne",2022-04-25,2,15,0,0,0,0,0,0,0,0
"Belle_et_Bonne",2022-04-25,2,16,0,0,0,0,0,0,0,0
"Belle_et_Bonne",2022-04-25,2,17,0,0,0,0,NA,NA,NA,NA
"Belle_et_Bonne",2022-04-25,2,18,0,0,0,0,NA,NA,NA,NA
"Belle_et_Bonne",2022-04-25,2,19,0,0,0,0,NA,NA,NA,NA
"Belle_et_Bonne",2022-04-25,2,20,0,0,0,0,NA,NA,NA,NA
"Belle_et_Bonne",2022-04-25,2,21,0,0,0,0,NA,NA,NA,NA
"Belle_et_Bonne",2022-04-25,2,22,0,0,0,0,NA,NA,NA,NA
"Belle_et_Bonne",2022-04-25,2,23,0,0,0,0,NA,NA,NA,NA
"Belle_et_Bonne",2022-04-25,3,11,0,0,0,0,NA,NA,NA,NA
"Belle_et_Bonne",2022-04-25,3,12,0,0,0,0,0,0,0,0
"Belle_et_Bonne",2022-04-25,3,13,0,0,0,0,0,0,0,0
"Belle_et_Bonne",2022-04-25,3,14,0,0,0,0,0,0,0,0
"Belle_et_Bonne",2022-04-25,3,15,0,0,0,0,0,0,0,0
"Belle_et_Bonne",2022-04-25,3,16,0,0,0,0,NA,NA,NA,NA
"Belle_et_Bonne",2022-04-25,3,17,0,0,0,0,NA,NA,NA,NA
"Belle_et_Bonne",2022-04-25,3,18,0,0,0,0,NA,NA,NA,NA
"Belle_et_Bonne",2022-04-25,3,19,0,0,0,0,NA,NA,NA,NA
"Belle_et_Bonne",2022-04-25,3,20,0,0,0,0,NA,NA,NA,NA
"Belrubi",2022-04-25,0,1,1,0.6,0.4,2.6,1,0.547722557505166,0.547722557505166,2.60768096208106
"Belrubi",2022-04-25,0,2,1.8,1,0.8,5,1.6431676725155,1,0.836660026534076,4.69041575982343
"Belrubi",2022-04-25,0,3,0.4,0.2,0.2,0.8,0.894427190999916,0.447213595499958,0.447213595499958,1.78885438199983
"Belrubi",2022-04-25,0,4,1,0.5,0.5,3.5,1.15470053837925,0.577350269189626,0.577350269189626,4.35889894354067
"Belrubi",2022-04-25,0,5,0,0,0,0,0,0,0,0
"Belrubi",2022-04-25,0,6,0,0,0,0,0,0,0,0
"Belrubi",2022-04-25,0,7,0,0,0,0,NA,NA,NA,NA
"Belrubi",2022-04-25,0,8,0,0,0,0,NA,NA,NA,NA
"Belrubi",2022-04-25,0,9,2,1,1,6,NA,NA,NA,NA
"Belrubi",2022-04-25,0,10,0,0,0,0,NA,NA,NA,NA
"Belrubi",2022-04-25,1,4,0,0,0,0,NA,NA,NA,NA
"Belrubi",2022-04-25,1,5,0,0,0,0,0,0,0,0
"Belrubi",2022-04-25,1,6,0,0,0,0,0,0,0,0
"Belrubi",2022-04-25,1,7,1.5,0.5,1,3.5,2.12132034355964,0.707106781186548,1.4142135623731,4.94974746830583
"Belrubi",2022-04-25,1,8,0,0,0,0,0,0,0,0
"Belrubi",2022-04-25,1,11,0,0,0,0,NA,NA,NA,NA
"Belrubi",2022-04-25,1,12,0,0,0,0,NA,NA,NA,NA
"Belrubi",2022-04-25,2,7,0,0,0,0,0,0,0,0
"Belrubi",2022-04-25,2,8,0,0,0,0,0,0,0,0
"Belrubi",2022-04-25,2,9,0,0,0,0,0,0,0,0
"Belrubi",2022-04-25,2,10,0,0,0,0,0,0,0,0
"Belrubi",2022-04-25,2,11,0,0,0,0,NA,NA,NA,NA
"Belrubi",2022-04-25,2,13,0,0,0,0,NA,NA,NA,NA
"Belrubi",2022-04-25,2,14,0,0,0,0,NA,NA,NA,NA
"Belrubi",2022-04-25,2,15,0,0,0,0,NA,NA,NA,NA
"Belrubi",2022-04-25,3,12,0,0,0,0,NA,NA,NA,NA
"Belrubi",2022-04-25,3,13,0,0,0,0,NA,NA,NA,NA
"Belrubi",2022-04-25,3,16,0,0,0,0,NA,NA,NA,NA
"Belrubi",2022-04-25,3,17,0,0,0,0,NA,NA,NA,NA
"Belrubi",2022-04-25,3,18,0,0,0,0,NA,NA,NA,NA
"CF10122",2022-04-11,0,1,2.33333333333333,1,1.33333333333333,5.83333333333333,0.816496580927726,0,0.816496580927726,2.92688685580203
"CF10122",2022-04-11,0,2,1.83333333333333,0.833333333333333,1,4.33333333333333,1.60208197875972,0.752772652709081,0.894427190999916,3.50238014308365
"CF10122",2022-04-11,0,3,0.8,0.4,0.4,2.2,1.09544511501033,0.547722557505166,0.547722557505166,3.4928498393146
"CF10122",2022-04-11,0,4,0.5,0.25,0.25,1.5,1,0.5,0.5,3
"CF10122",2022-04-11,0,5,0,0,0,0,0,0,0,0
"CF10122",2022-04-11,0,6,0,0,0,0,NA,NA,NA,NA
"CF10122",2022-04-11,0,7,0,0,0,0,NA,NA,NA,NA
"CF10122",2022-04-11,0,8,0,0,0,0,NA,NA,NA,NA
"CF10122",2022-04-11,1,3,0,0,0,0,NA,NA,NA,NA
"CF10122",2022-04-11,1,4,0,0,0,0,0,0,0,0
"CF10122",2022-04-11,1,5,0,0,0,0,0,0,0,0
"CF10122",2022-04-11,1,6,0,0,0,0,0,0,0,0
"CF10122",2022-04-11,1,7,0,0,0,0,0,0,0,0
"CF10122",2022-04-11,1,8,0,0,0,0,NA,NA,NA,NA
"CF10122",2022-04-11,1,9,0,0,0,0,NA,NA,NA,NA
"CF10122",2022-04-11,1,10,0,0,0,0,NA,NA,NA,NA
"CF10122",2022-04-11,2,6,0,0,0,0,NA,NA,NA,NA
"CF10122",2022-04-11,2,7,0,0,0,0,NA,NA,NA,NA
"CF10122",2022-04-11,2,8,0,0,0,0,0,0,0,0
"CF10122",2022-04-11,2,9,0,0,0,0,0,0,0,0
"CF10122",2022-04-11,2,10,0,0,0,0,0,0,0,0
"CF10122",2022-04-11,2,11,0,0,0,0,0,0,0,0
"CF10122",2022-04-11,2,12,0,0,0,0,0,0,0,0
"CF10122",2022-04-11,3,9,0,0,0,0,NA,NA,NA,NA
"CF10122",2022-04-11,3,10,0,0,0,0,NA,NA,NA,NA
"CF10122",2022-04-11,3,11,0,0,0,0,NA,NA,NA,NA
"CF10122",2022-04-11,3,12,0,0,0,0,NA,NA,NA,NA
"CF10122",2022-04-11,3,13,0,0,0,0,NA,NA,NA,NA
"CF10277",2022-04-19,0,1,2.5,1,1.5,5.83333333333333,0.836660026534076,0,0.836660026534076,2.48327740429189
"CF10277",2022-04-19,0,2,1.66666666666667,0.666666666666667,1,3.33333333333333,1.36626010212795,0.516397779494322,0.894427190999916,2.65832027165025
