"Genotype","date","modality","no_visible_leaves_mean","no_foliar_primodium_mean","no_total_leaves_mean","no_open_flowers_mean","no_aborted_flowers_mean","no_closed_flowers_mean","no_total_flowers_mean","no_fruits_mean","no_stolons_mean","no_vegetative_bud_mean","no_initiated_bud_mean","no_floral_bud_mean","no_inflorescences_mean","no_branch_crown_mean","no_extension_crown_mean","no_ramifications_mean","order_max_mean","no_visible_leaves_sd","no_foliar_primodium_sd","no_total_leaves_sd","no_open_flowers_sd","no_aborted_flowers_sd","no_closed_flowers_sd","no_total_flowers_sd","no_fruits_sd","no_stolons_sd","no_vegetative_bud_sd","no_initiated_bud_sd","no_floral_bud_sd","no_inflorescences_sd","no_branch_crown_sd","no_extension_crown_sd","no_ramifications_sd","order_max_sd"
"Belle_et_Bonne",2022-04-25,"A",37,6,43,0,0,0,79.8,67,1.8,30.4,0.6,0,8.8,3,7.8,10.8,3.8,6.51920240520265,4.35889894354067,10.0747208398049,0,0,0,14.4291371883422,16.1245154965971,1.48323969741913,8.50294066779253,0.547722557505166,0,1.6431676725155,0.707106781186548,1.30384048104053,1.6431676725155,0.836660026534076
"Belrubi",2022-04-25,"A",24.6,3.8,28.4,0,0,0,45,41.6,0,20.2,0,0,5.6,2.6,4.8,7.4,3,10.9453186340097,3.96232255123179,14.6901327427631,0,0,0,10.0747208398049,5.98331012066064,0,12.0291313069565,0,0,1.81659021245849,1.51657508881031,1.30384048104053,2.79284800875379,0.707106781186548
"CF10122",2022-04-11,"A",24.3333333333333,0.666666666666667,25,0,0,0,25.1666666666667,24.3333333333333,0,17,0.166666666666667,0,7.16666666666667,2.33333333333333,5.5,7.83333333333333,3,7.52772652709081,1.03279555898864,7.07106781186548,0,0,0,7.13909424693824,8.73307887670017,0,4.69041575982343,0.408248290463863,0,2.31660671385254,1.211060141639,1.87082869338697,2.99443929086343,0.632455532033676
"CF10277",2022-04-19,"A",36.1666666666667,3.5,39.6666666666667,0,0,0,49.6666666666667,46.5,0,25.5,0,0,9.16666666666667,4.83333333333333,8,12.8333333333333,3,7.67897562612792,2.16794833886788,9.52190457139047,0,0,0,17.7726381459441,17.9638525934723,0,7.86765530510838,0,0,1.72240142436851,2.2286019533929,1.26491106406735,3.43025752191678,0
"CF12074",2022-04-25,"A",42.5,6.66666666666667,49.1666666666667,0,0,0,61,51.8333333333333,0.333333333333333,32.5,0.333333333333333,0,10.8333333333333,5.33333333333333,9.5,14.8333333333333,3.66666666666667,13.736811857196,3.50238014308365,14.4695081694806,0,0,0,24.1246761636296,19.5081179683399,0.516397779494322,10.7470926301023,0.816496580927726,0,3.25064096243597,1.63299316185545,3.08220700148449,3.9707262140151,0.816496580927726
"CF9416",2022-04-25,"A",40.8,5,45.8,0,0,0,38,30.4,0.6,33.2,0,0,8.8,4.4,7.6,12,3.6,10.5924501414923,1.87082869338697,11.9874934827928,0,0,0,9.08295106229247,8.59069263796581,0.894427190999916,8.75785361832453,0,0,3.11448230047949,2.07364413533277,2.30217288664427,3.93700393700591,0.547722557505166
"Ciflorette",2022-04-05,"A",34.1666666666667,2.5,36.6666666666667,0,0,0,40,22,0,24.6666666666667,0,0,8.66666666666667,4,6.16666666666667,10.1666666666667,3.83333333333333,7.96031825159438,1.87082869338697,8.11582815655104,0,0,0,11.1534747948789,19.3183850256692,0,7.73735527597555,0,0,1.96638416050035,2,1.32916013582513,1.94079021706795,1.16904519445001
"Cigaline",2022-04-19,"A",30.5,5.75,36.25,0,0,0,38,36.25,0,26.5,0,0,6.75,3,5.75,8.75,2.75,16.4620776331543,7.32006375199925,23.5425147339871,0,0,0,12.9099444873581,11.7011395456454,0,21.2524508390601,0,0,2.5,1.82574185835055,2.3629078131263,3.86221007541882,0.5
"CIR107",2022-04-05,"A",34.5,3,37.5,0,0,0,35.8333333333333,31.6666666666667,0,26.1666666666667,0,0,8.83333333333333,3.66666666666667,7.5,11.1666666666667,3.33333333333333,11.2915897906362,1.4142135623731,11.674759098157,0,0,0,19.6511238016218,18.2172079821982,0,8.75023809199879,0,0,2.40138848724372,1.36626010212795,2.16794833886788,2.85773803324704,0.516397779494322
"Cireine",2022-04-25,"A",26.3333333333333,2.66666666666667,29,0,0,0,34.5,33.8333333333333,2,20.1666666666667,0,0,5,1.83333333333333,5,6.83333333333333,3,9.28798507032966,2.94392028877595,10.1784085199996,0,0,0,8.73498712076898,8.03533861555732,2.75680975041804,7.25028735062733,0,0,1.78885438199983,0.983192080250175,1.78885438199983,2.63944438597722,0.632455532033676
