,Genotype,date,modality,plant,order,no_visible_leaves,no_foliar_primordia,no_total_leaves,no_open_flowers,no_aborted_flowers,no_total_flowers,no_fruits,no_stolons,no_vegetative_bud,no_initiated_bud,no_floral_bud,type_of_crown,crown_status,stage,complete_module,vid,plant_vid
0,Belle_et_Bonne,25-04-2022,A,1.0,0,9,0,9,0,0,20.0,20.0,1,5,0,0,Main,Inflorescence,89,True,2,1
1,Belle_et_Bonne,25-04-2022,A,1.0,1,3,0,3,0,0,8.0,8.0,0,2,0,0,Branch,Inflorescence,89,True,10,1
2,Belle_et_Bonne,25-04-2022,A,1.0,2,4,0,4,0,0,10.0,10.0,0,4,0,0,Extension,Inflorescence,89,True,18,1
3,Belle_et_Bonne,25-04-2022,A,1.0,3,6,5,11,0,0,0.0,0.0,3,8,0,0,Extension,vegetative,17,False,29,1
4,Belle_et_Bonne,25-04-2022,A,1.0,1,3,0,3,0,0,14.0,14.0,0,2,0,0,Branch,Inflorescence,89,True,79,1
5,Belle_et_Bonne,25-04-2022,A,1.0,2,3,0,3,0,0,8.0,5.0,0,2,0,0,Extension,Inflorescence,89,True,87,1
6,Belle_et_Bonne,25-04-2022,A,1.0,3,1,2,3,0,0,0.0,0.0,0,3,0,0,Extension,dried/aborted/cutted,aborted,False,95,1
7,Belle_et_Bonne,25-04-2022,A,1.0,1,4,0,4,0,0,11.0,11.0,0,2,0,0,Extension,Inflorescence,89,True,109,1
8,Belle_et_Bonne,25-04-2022,A,1.0,2,4,0,4,0,0,0.0,0.0,0,4,0,0,Branch,dried/aborted/cutted,55,False,114,1
9,Belle_et_Bonne,25-04-2022,A,1.0,2,3,0,3,0,0,5.0,5.0,0,2,0,0,Extension,Inflorescence,89,True,132,1
10,Belle_et_Bonne,25-04-2022,A,1.0,3,4,0,4,0,0,6.0,0.0,0,4,0,0,Extension,Inflorescence,60,True,140,1
11,Belle_et_Bonne,25-04-2022,A,2.0,0,6,0,6,0,0,21.0,21.0,0,3,0,0,Main,Inflorescence,89,True,170,169
12,Belle_et_Bonne,25-04-2022,A,2.0,1,1,0,1,0,0,4.0,4.0,0,0,0,0,Branch,Inflorescence,89,True,172,169
13,Belle_et_Bonne,25-04-2022,A,2.0,2,6,0,6,0,0,10.0,1.0,2,3,1,0,Extension,Inflorescence,71,True,174,169
14,Belle_et_Bonne,25-04-2022,A,2.0,3,2,1,3,0,0,0.0,0.0,0,3,0,0,Extension,initiated,A,False,191,169
15,Belle_et_Bonne,25-04-2022,A,2.0,1,1,0,1,0,0,8.0,8.0,0,0,0,0,Branch,Inflorescence,89,True,205,169
16,Belle_et_Bonne,25-04-2022,A,2.0,2,3,0,3,0,0,6.0,5.0,0,2,0,0,Extension,Inflorescence,89,True,207,169
17,Belle_et_Bonne,25-04-2022,A,2.0,3,3,0,3,0,0,0.0,0.0,0,2,0,0,Extension,Inflorescence,55,True,215,169
