,node_id,rank,branching_type,complete,no_modules_branching,no_branch_crown_branching,no_extension_crown_branching,branching_length,Genotype,order,date,plant
0,4120,1,branch crown,complete,8,5,3,24,Ciflorette,0,05-04-2022,1.0
1,4195,2,branch crown,complete,3,2,1,10,Ciflorette,0,05-04-2022,1.0
2,4228,3,vegetative bud,other,0,0,0,0,Ciflorette,0,05-04-2022,1.0
3,4231,4,vegetative bud,other,0,0,0,0,Ciflorette,0,05-04-2022,1.0
4,4234,5,vegetative bud,other,0,0,0,0,Ciflorette,0,05-04-2022,1.0
5,4237,6,branch crown,complete,0,0,0,0,Ciflorette,0,05-04-2022,1.0
6,4239,7,vegetative bud,other,0,0,0,0,Ciflorette,1,05-04-2022,1.0
7,4242,8,branch crown,incomplete,1,1,0,2,Ciflorette,1,05-04-2022,1.0
8,4257,9,vegetative bud,other,0,0,0,0,Ciflorette,1,05-04-2022,1.0
9,4264,1,branch crown,complete,0,0,0,0,Ciflorette,0,05-04-2022,2.0
10,4266,2,vegetative bud,other,0,0,0,0,Ciflorette,1,05-04-2022,2.0
11,4269,3,vegetative bud,other,0,0,0,0,Ciflorette,1,05-04-2022,2.0
12,4272,4,vegetative bud,other,0,0,0,0,Ciflorette,1,05-04-2022,2.0
13,4275,5,branch crown,complete,6,2,4,15,Ciflorette,1,05-04-2022,2.0
14,4335,6,-1,other,0,0,0,0,Ciflorette,1,05-04-2022,2.0
15,4350,7,branch crown,complete,2,1,1,5,Ciflorette,1,05-04-2022,2.0
16,4374,8,branch crown,complete,0,0,0,0,Ciflorette,1,05-04-2022,2.0
17,4376,9,,other,0,0,0,0,Ciflorette,2,05-04-2022,2.0
18,4377,10,,other,0,0,0,0,Ciflorette,2,05-04-2022,2.0
19,4378,11,branch crown,complete,0,0,0,0,Ciflorette,2,05-04-2022,2.0
20,4380,12,,other,0,0,0,0,Ciflorette,3,05-04-2022,2.0
21,4381,13,,other,0,0,0,0,Ciflorette,3,05-04-2022,2.0
22,4382,14,vegetative bud,other,0,0,0,0,Ciflorette,3,05-04-2022,2.0
23,4397,1,branch crown,complete,4,2,2,15,Ciflorette,0,05-04-2022,3.0
24,4451,2,vegetative bud,other,0,0,0,0,Ciflorette,0,05-04-2022,3.0
25,4454,3,branch crown,complete,2,1,1,6,Ciflorette,0,05-04-2022,3.0
26,4481,4,branch crown,complete,0,0,0,0,Ciflorette,0,05-04-2022,3.0
27,4483,5,vegetative bud,other,0,0,0,0,Ciflorette,1,05-04-2022,3.0
